track_name,artist_name,released_year,streams,category
Circles,"Post Malone",2019,2132335812,"overall top 10"
"Levitating (feat. DaBaby)","Dua Lipa, DaBaby",2020,1802514301,"overall top 10"
"No Role Modelz","J. Cole",2014,1791000570,"overall top 10"
Dakiti,"Bad Bunny, Jhay Cortez",2020,1763363713,"overall top 10"
"When I Was Your Man","Bruno Mars",2012,1661187319,"overall top 10"
"Die For You","The Weeknd",2016,1647990401,"overall top 10"
"Before You Go","Lewis Capaldi",2019,1608045237,"overall top 10"
"Every Breath You Take - Remastered 2003","The Police",1983,1593270737,"overall top 10"
"Save Your Tears","The Weeknd",2020,1591223784,"overall top 10"
"Kiss Me More (feat. SZA)","SZA, Doja Cat",2021,1575467011,"overall top 10"
"Ella Baila Sola","Eslabon Armado, Peso Pluma",2023,725980112,"2023 top 10"
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2023,721975598,"2023 top 10"
TQG,"Karol G, Shakira",2023,618990393,"2023 top 10"
"La Bebe - Remix","Peso Pluma, Yng Lvcas",2023,553634067,"2023 top 10"
"Die For You - Remix","Ariana Grande, The Weeknd",2023,518745108,"2023 top 10"
"un x100to","Bad Bunny, Grupo Frontera",2023,505671438,"2023 top 10"
"Cupid - Twin Ver.","Fifty Fifty",2023,496795686,"2023 top 10"
PRC,"Natanael Cano, Peso Pluma",2023,436027885,"2023 top 10"
OMG,NewJeans,2023,430977451,"2023 top 10"
"Last Night","Morgan Wallen",2023,429829812,"2023 top 10"
